Filename,IoU
datasets/test/08chevySilverado35.jpg,0.4305752071
datasets/test/27volkswagenArteon24.jpg,0.3749684768
datasets/test/05bmwX4-13.jpg,0.4447233402
datasets/test/12hondaPassport43.jpg,0.6869087709
datasets/test/14hyundaiVeloster31.jpg,0.6050591912
datasets/test/28volkswagenJetta1.jpg,0.4583848812
datasets/test/05bmwX4-38.jpg,0.4883121268
datasets/test/19nissanAltima25.jpg,0.6060122265
datasets/test/25toyotaAvalon31.jpg,0.4920958956
datasets/test/20nissanLeafPlus14.jpg,0.4843432899
datasets/test/22porscheCayenne18.jpg,0.5876815063
datasets/test/25toyotaAvalon9.jpg,0.6558825635
datasets/test/28volkswagenJetta5.jpg,0.6295083572
datasets/test/30volvoV60-11.jpg,0.4230429404
datasets/test/10fordTaurus22.jpg,0.5788294785
datasets/test/03audiA6-35.jpg,0.4171119134
datasets/test/26toyotaRAV4-33.jpg,0.7226380434
datasets/test/26toyotaRAV4-21.jpg,0
datasets/test/30volvoV60-26.jpg,0.2770450874
datasets/test/12hondaPassport33.jpg,0.8891926584
datasets/test/27volkswagenArteon21.jpg,0.439910146
datasets/test/06bmwX5-31.jpg,0.8067420405
datasets/test/22porscheCayenne24.jpg,0.3447715755
datasets/test/12hondaPassport22.jpg,0
datasets/test/09fordFusionHybridTitanium23.jpg,0.5399682372
datasets/test/01acuraNSX14.jpg,0.6214407512
datasets/test/26toyotaRAV4-14.jpg,0.7027010677
datasets/test/11hondaInsight21.jpg,0.4064191696
datasets/test/28volkswagenJetta9.jpg,0.4308547603
datasets/test/27volkswagenArteon20.jpg,0
datasets/test/24subaruForester31.jpg,0
datasets/test/03audiA6-10.jpg,0.5123474982
datasets/test/07chevyBlazer3.jpg,0
datasets/test/07chevyBlazer32.jpg,0.596020224
datasets/test/02acuraRDX28.jpg,0
datasets/test/20nissanLeafPlus18.jpg,0.207300266
datasets/test/05bmwX4-36.jpg,0.8040212427
datasets/test/14hyundaiVeloster16.jpg,0.4450965849
datasets/test/28volkswagenJetta22.jpg,0.5997100871
datasets/test/26toyotaRAV4-18.jpg,0
datasets/test/08chevySilverado7.jpg,0
datasets/test/25toyotaAvalon15.jpg,0.6350415335
